Eq Times
1819
218
351
429
367
366
1732
187
380
262
1320
722
1655
534
2155
298
541
137
1756
426
876
279
765
941
277
848
484
533
1193
483
1048
615
417
1000
542
1464
2749
404
2249
1708
490
317
617
282
417
757
512
606
227
516
830
536
314
673
905
959
406
674
731
1073
1226
696
678
1141
1542
1793
881
973
719
1614
1892
759
1405
820
553
418
2172
224
716
351
1455
187
2224
514
338
549
452
658
457
1639
932
2150
393
709
295
1153
2894
403
478
786
1373
749
372
241
907
804
691
709
591
319
988
1099
1715
409
890
976
554
470
484
985
502
442
1223
635
404
1049
683
251
554
166
1389
1373
622
1889
767
1636
387
558
864
1604
680
907
641
615
344
1604
1150
504
490
1023
390
484
856
1480
796
1531
1712
695
437
2866
1106
600
870
1541
981
1531
461
484
659
614
746
368
349
765
452
2556
467
537
1145
1166
428
1540
815
699
1402
424
570
465
976
519
1328
1417
543
1039
512
2879
192
411
536
155
197
1429
1455
212
1200
1682
1611
453
361
961
874
1194
1099
584
1746
325
423
1207
463
506
569
504
460
293
1066
1223
396
1072
514
256
415
920
1062
475
1465
650
448
1171
1571
393
1361
1011
258
702
758
490
1448
1694
1382
178
620
666
784
1254
255
232
545
1301
532
1662
733
147
284
1928
652
1366
804
1170
345
1840
1820
325
2031
174
1547
366
1079
1549
1602
572
1606
483
495
1358
445
440
412
239
1868
527
407
844
283
450
436
1860
965
759
606
1185
352
672
547
525
367
500
487
434
824
1656
815
485
574
1009
2191
409
1520
689
753
2289
532
553
240
1098
462
343
837
2268
764
881
1239
402
337
695
247
2379
1679
1937
716
1013
677
1181
440
611
613
756
326
419
391
340
614
1519
325
981
867
180
2296
343
287
474
2717
620
277
352
192
1463
729
710
299
663
637
581
390
760
287
823
1055
421
862
1845
989
515
394
330
2777
422
187
820
613
920
840
1408
414
669
341
739
331
440
295
520
357
674
575
2666
1877
222
1097
1284
1470
686
419
973
340
634
2931
982
642
2810
408
445
698
341
1003
925
355
279
420
847
537
470
847
814
412
601
1048
889
532
259
970
1029
1154
2424
184
590
1222
566
576
520
1282
486
1642
419
486
1022
549
886
1140
1290
569
792
250
219
243
595
216
433
348
1239
2419
231
1636
567
1885
352
519
237
824
284
486
1029
1503
510
142
147
329
500
1418
1459
420
1279
1307
299
444
2394
234
870
1234
2145
1868
324
487
522
279
1434
1186
416
1845
1556
310
585
324
661
386
361
601
556
226
1728
269
663
670
451
2261
1408
339
1568
635
322
239
889
385
549
538
865
581
1243
758
1698
276
466
1064
486
654
613
606
675
992
467
333
901
2873
1279
491
513
568
919
1644
987
880
1286
1322
1743
363
916
1139
644
628
1092
1004
386
287
433
402
358
823
1193
607
645
815
216
1175
2580
597
2828
1305
786
581
432
464
309
694
619
2699
1170
405
454
487
186
318
1362
1134
411
386
664
622
299
171
949
691
835
1329
886
606
499
313
662
472
1072
354
656
1308
213
412
919
664
530
633
867
473
972
1169
213
248
216
203
540
745
541
1617
175
1421
440
1610
640
408
329
415
1123
804
597
556
465
963
674
623
833
506
892
643
1394
533
342
279
352
629
638
1108
762
450
568
566
1564
1569
588
2523
1491
130
422
404
987
448
397
1368
883
1710
355
259
767
298
628
664
2264
1009
535
235
1824
804
942
875
566
320
271
902
497
1527
376
182
514
692
431
1307
944
436
430
326
659
585
1270
1402
1204
815
476
1363
607
1507
474
915
601
506
306
479
304
645
1292
1555
1818
1255
905
342
482
1211
853
1586
749
567
1543
306
1366
929
1638
743
381
702
1675
1166
315
290
268
1641
495
176
1036
913
1465
420
2263
484
296
677
399
665
499
251
1265
163
1367
1214
439
381
322
126
1296
519
284
1573
925
941
1208
602
625
1094
1064
972
330
1408
408
377
582
300
2492
2847
509
278
537
1351
1035
420
250
1406
852
1670
245
276
334
2296
834
1096
797
291
699
573
2181
382
353
202
625
897
500
2500
315
1454
1351
384
970
957
347
1145
540
518
756
377
196
850
476
1915
771
259
571
793
261
791
429
292
948
1243
1095
1123
891
200
481
555
1981
1000
1097
758
1178
2506
400
1230
472
362
1017
536
838
278
1079
589
366
471
1829
366
992
851
980
381
986
2504
620
302
1747
518
607
711
329
2413
1416
763
806
1629
532
816
959
577
345
828
1424
564
1641
510
1353
503
974
443
590
202
265
881
735
1249
439
301
829
1341
989
578
767
351
481
1235
460
548
643
323
258
1436
344
605
576
1128
634
1010
343
513
1145
864
1210
1314
980
241
324
492
752
163
438
551
300
519
728
191
2846
179
682
696
632
469
415
849
353
190
400
535
1232
612
1209
329
701
318
555
1953
805
